category,image_id,image_path,ecg_id,layout,status,error,method,cosine_similarity,mean_abs_probability_difference,agreement_rate
photos_samsung,81,photos_samsung/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,,tiled,0.9248015880584717,0.04364308714866638,0.96
photos_samsung,81,photos_samsung/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,,segment_ensemble,0.9543513655662537,0.027655286714434624,0.9866666666666667
photos_scans,81,photos_scans/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,,tiled,0.9803744554519653,0.018185339868068695,0.9933333333333333
photos_scans,81,photos_scans/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,,segment_ensemble,0.9922491908073425,0.007656973786652088,1.0
photos_screens,81,photos_screens/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,,tiled,0.8552185893058777,0.07045019418001175,0.94
photos_screens,81,photos_screens/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,,segment_ensemble,0.8560823202133179,0.04162030667066574,0.98
photos_bents,82,photos_bents/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,,tiled,0.8332056999206543,0.06550327688455582,0.96
photos_bents,82,photos_bents/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,,segment_ensemble,0.80885249376297,0.07318482547998428,0.9466666666666667
photos_crumbles,82,photos_crumbles/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,,tiled,0.8693183064460754,0.06295306980609894,0.96
photos_crumbles,82,photos_crumbles/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,,segment_ensemble,0.7713346481323242,0.08412915468215942,0.94
photos_doogee,82,photos_doogee/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,,tiled,0.9101372957229614,0.04398693889379501,0.96
photos_doogee,82,photos_doogee/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,,segment_ensemble,0.9844521880149841,0.018488390371203423,1.0
photos_iphone,82,photos_iphone/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,,tiled,0.9207720756530762,0.04516680911183357,0.9733333333333334
photos_iphone,82,photos_iphone/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,,segment_ensemble,0.8924494981765747,0.052343614399433136,0.9666666666666667
photos_samsung,82,photos_samsung/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,,tiled,0.8921636939048767,0.04964105039834976,0.96
